11,ACEH,ACEH
12,SUMATERA UTARA,SUMATERA UTARA
13,SUMATERA BARAT,SUMATERA BARAT
14,RIAU,RIAU
15,JAMBI,JAMBI
16,SUMATERA SELATAN,SUMATERA SELATAN
17,BENGKULU,BENGKULU
18,LAMPUNG,LAMPUNG
19,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG
21,KEPULAUAN RIAU,KEPULAUAN RIAU
31,DKI JAKARTA,DKI JAKARTA
32,JAWA BARAT,JAWA BARAT
33,JAWA TENGAH,JAWA TENGAH
34,DI YOGYAKARTA,DI YOGYAKARTA
35,JAWA TIMUR,JAWA TIMUR
36,BANTEN,BANTEN
51,BALI,BALI
52,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT
53,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR
61,KALIMANTAN BARAT,KALIMANTAN BARAT
62,KALIMANTAN TENGAH,KALIMANTAN TENGAH
63,KALIMANTAN SELATAN,KALIMANTAN SELATAN
64,KALIMANTAN TIMUR,KALIMANTAN TIMUR
65,KALIMANTAN UTARA,KALIMANTAN UTARA
71,SULAWESI UTARA,SULAWESI UTARA
72,SULAWESI TENGAH,SULAWESI TENGAH
73,SULAWESI SELATAN,SULAWESI SELATAN
74,SULAWESI TENGGARA,SULAWESI TENGGARA
75,GORONTALO,GORONTALO
76,SULAWESI BARAT,SULAWESI BARAT
81,MALUKU,MALUKU
82,MALUKU UTARA,MALUKU UTARA
91,PAPUA BARAT,PAPUA BARAT
94,PAPUA,PAPUA
